"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDUNILVR","EQ","15-May-2020","       2006.05","       2015.00","       2037.65","       2006.00","       2034.95","       2032.10","       2021.73","    5491176","         11101684289.35","     243593","    3216932","         58.58"
"HINDUNILVR","EQ","18-May-2020","       2032.10","       2041.50","       2047.85","       1988.60","       2004.70","       2005.25","       2007.96","    7675796","         15412686469.90","     265255","    5220095","         68.01"
"HINDUNILVR","EQ","19-May-2020","       2005.25","       2018.00","       2024.80","       1968.10","       1976.90","       1975.55","       1988.52","    5963269","         11858094494.80","     233042","    3390822","         56.86"
"HINDUNILVR","EQ","20-May-2020","       1975.55","       1975.55","       2010.00","       1975.00","       1988.00","       1990.85","       1993.53","    3927076","          7828736279.65","     154130","    1979287","         50.40"
"HINDUNILVR","EQ","21-May-2020","       1990.85","       1999.00","       2003.40","       1955.20","       1970.70","       1970.90","       1978.75","    4261738","          8432920478.20","     211274","    2402967","         56.38"
"HINDUNILVR","EQ","22-May-2020","       1970.90","       1975.00","       1995.05","       1958.00","       1990.50","       1987.90","       1979.43","    5340153","         10570432887.15","     201026","    3290428","         61.62"
"HINDUNILVR","EQ","26-May-2020","       1987.90","       2004.95","       2020.00","       1975.00","       1979.50","       1977.80","       1999.26","    4629114","          9254803851.90","     296939","    3007459","         64.97"
"HINDUNILVR","EQ","27-May-2020","       1977.80","       1990.00","       2005.10","       1961.00","       1995.00","       1998.10","       1983.91","    4261646","          8454725111.85","     211409","    2554737","         59.95"
"HINDUNILVR","EQ","28-May-2020","       1998.10","       2000.00","       2015.00","       1990.00","       2004.25","       2009.95","       2005.19","    5500915","         11030363203.35","     166186","    3443119","         62.59"
"HINDUNILVR","EQ","29-May-2020","       2009.95","       2009.00","       2068.00","       2000.00","       2057.10","       2057.35","       2034.28","    8779010","         17858932220.15","     238620","    5469999","         62.31"
"HINDUNILVR","EQ","01-Jun-2020","       2057.35","       2075.00","       2143.00","       2071.20","       2108.60","       2108.55","       2111.99","    6592707","         13923749297.55","     213628","    3278414","         49.73"
"HINDUNILVR","EQ","02-Jun-2020","       2108.55","       2122.00","       2125.00","       2090.00","       2096.50","       2107.40","       2112.12","    3268736","          6903962233.95","     153054","    1810831","         55.40"
"HINDUNILVR","EQ","03-Jun-2020","       2107.40","       2115.00","       2149.00","       2085.00","       2123.00","       2120.50","       2116.68","    4895141","         10361451237.70","     199497","    2156957","         44.06"
"HINDUNILVR","EQ","04-Jun-2020","       2120.50","       2115.00","       2132.40","       2105.25","       2118.00","       2120.60","       2118.74","    3264780","          6917212086.40","     149826","    1867894","         57.21"
"HINDUNILVR","EQ","05-Jun-2020","       2120.60","       2124.00","       2128.00","       2085.00","       2087.05","       2087.60","       2095.92","    2981896","          6249808352.55","     127882","    1557313","         52.23"
"HINDUNILVR","EQ","08-Jun-2020","       2087.60","       2107.00","       2124.50","       2078.10","       2110.30","       2111.70","       2102.69","    4298517","          9038459134.45","     226705","    2264424","         52.68"
"HINDUNILVR","EQ","09-Jun-2020","       2111.70","       2100.00","       2144.80","       2095.05","       2102.00","       2106.50","       2124.08","    3128155","          6644467037.70","     152965","    1395848","         44.62"
"HINDUNILVR","EQ","10-Jun-2020","       2106.50","       2115.90","       2130.00","       2096.00","       2119.00","       2119.60","       2118.72","    2421672","          5130844702.80","     128957","    1069147","         44.15"
"HINDUNILVR","EQ","11-Jun-2020","       2119.60","       2115.00","       2138.20","       2095.65","       2107.90","       2106.90","       2118.00","    2566963","          5436825499.60","     121007","    1337901","         52.12"
